query_id	result_count	time_ms	status	error_type
758	0	0.890	200	
759	3028	10.832	200	
760	389175	1450.006	200	
761	0	36.540	200	
762	0	11.337	200	
763	271	33.642	200	
764	1	0.602	200	
765	4837	2.599	200	
766	1000000	558.683	200	
767	1	134.644	200	
768	692	17.756	200	
769	1	2.378	200	
770	1	3.286	200	
771	34422	310.756	200	
772	1000000	3304.305	200	
773	0	29.144	200	
774	1	21.665	200	
775	0	22.545	200	
776	5	63.371	200	
777	0	7.461	200	
778	0	46.737	200	
779	88250	2404.847	200	
780	0	25.237	200	
781	0	1.114	200	
782	124	44.751	200	
783	67314	237.406	200	
784	0	416.761	200	
785	300718	19263.298	200	
786	17319	153.786	200	
787	0	31.690	200	
788	89	58.254	200	
789	28724	187.547	200	
790	14	188.005	200	
791	0	1.147	200	
792	339634	1780.423	200	
793	0	16.513	200	
794	25668	1990.306	200	
795	0	0.707	200	
796	1	0.366	200	
797	51	0.423	200	
798	675	145.115	200	
799	207133	405.686	200	
800	36	79.507	200	
801	30	0.698	200	
802	0	68.012	200	
803	0	59.841	200	
804	430777	1574.806	200	
805	0	65.909	200	
806	1000000	220.997	200	
807	226848	292.800	200	
808	1	14.587	200	
809	1068	25498.217	200	
810	1000000	1178.206	200	
811	0	2.199	200	
812	33	78.231	200	
813	2999	680.433	200	
814	6	5.768	200	
815	271	0.919	200	
816	0	16.935	200	
817	0	66.297	200	
818	82580	131.349	200	
819	1000000	913.106	200	
820	350	1.864	200	
821	35	38.455	200	
822	78	1.293	200	
823	1000000	348.126	200	
824	0	17.738	200	
825	8588	2256.332	200	
826	151966	3921.131	200	
827	21	86.672	200	
828	79	46.301	200	
829	0	6.910	200	
830	0	0.364	200	
831	1000000	241482.261	200	
832	28370	203.021	200	
833	454638	854.733	200	
834	15801	18.596	200	
835	0	1.289	200	
836	0	586.530	200	
837	137	49.631	200	
838	0	40.692	200	
839	527	15.690	200	
840	761	10.051	200	
841	0	40.010	200	
842	8422	99.529	200	
843	114	38.734	200	
844	0	28.240	200	
845	0	0.530	200	
846	1000000	557.725	200	
847	0	0.759	200	
848	363	156.170	200	
849	464	4.377	200	
850	363	3.646	200	
851	34	17.757	200	
852	0	13.460	200	
853	15	15.103	200	
854	106	21.090	200	
855	0	0.522	200	
856	0	60.502	200	
857	930	17.321	200	
858	0	0.481	200	
859	1219	97.329	200	
860	1000000	3396.175	200	
861	0	6.855	200	
862	3015	2444.684	200	
863	3841	2052.453	200	
864	3841	1730.037	200	
865	0	7.474	200	
866	11580	95.598	200	
867	0	85.126	200	
868	9	165.284	200	
869	0	281.157	200	
870	4655	149.009	200	
871	339634	1798.827	200	
872	297	35030.874	200	
873	1000000	8384.548	200	
874	1000000	57773.962	200	
875	0	0.729	200	
876	4536	755.206	200	
877	21723	507.057	200	
878	3747	79.634	200	
879	51	211.426	200	
880	24836	131.475	200	
881	0	1.021	200	
882	0	58.335	200	
883	42	107.594	200	
884	669797	88919.254	200	
885	1000000	31899.879	200	
886	516	3.352	200	
887	1000000	10242.343	200	
888	1000000	28083.001	200	
889	1000000	219.045	200	
890	1000000	278979.564	200	
891	7914	53.741	200	
892	2342	43.960	200	
893	291	78.456	200	
894	1000000	2552.476	200	
895	1000000	186567.723	200	
896	3209	44.838	200	
897	0	338711.234	200	
898	282032	575.847	200	
899	-1	10.409	400	http_error
900	2	329.719	200	
901	21000	56.954	200	
902	3390	75.309	200	
903	0	7.060	200	
904	657	6506.832	200	
905	0	19.634	200	
906	662	1007.945	200	
907	1000000	64829.272	200	
908	456497	4641.582	200	
909	0	1.738	200	
910	5266	302.260	200	
911	0	2.516	200	
912	5839	46.939	200	
913	0	0.572	200	
914	86	3.373	200	
915	74	1.615	200	
916	0	0.223	200	
917	0	0.245	200	
918	0	0.259	200	
919	0	0.276	200	
920	0	0.248	200	
921	696	25.527	200	
922	586	10.924	200	
923	0	32.408	200	
924	1000000	1066.709	200	
925	1000000	187.264	200	
926	37269	13.413	200	
927	624	7.214	200	
928	206	4.258	200	
929	17365	83.800	200	
930	0	141.986	200	
931	0	41.939	200	
932	216	8.811	200	
933	42555	74.502	200	
934	193	6.357	200	
935	13	9.261	200	
936	30	124.960	200	
937	5245	138.689	200	
938	462	2.208	200	
939	8	25.163	200	
940	912	173.530	200	
941	912	97.282	200	
942	23	32.471	200	
943	48	3.138	200	
944	0	26.788	200	
945	50	32869.911	200	
946	0	1106.149	200	
947	0	3400.740	200	
948	0	15298.394	200	
949	0	111542.966	200	
950	0	0.684	200	
951	807	34.969	200	
952	0	13.059	200	
953	1000000	623.006	200	
954	5895	17.873	200	
955	8627	23.560	200	
